pseudo	pseudo.pseudo_total_cold_resistance	+#% total to Cold Resistance
pseudo	pseudo.pseudo_total_fire_resistance	+#% total to Fire Resistance
pseudo	pseudo.pseudo_total_lightning_resistance	+#% total to Lightning Resistance
pseudo	pseudo.pseudo_total_elemental_resistance	+#% total Elemental Resistance
pseudo	pseudo.pseudo_total_chaos_resistance	+#% total to Chaos Resistance
pseudo	pseudo.pseudo_total_resistance	+#% total Resistance
pseudo	pseudo.pseudo_count_resistances	# total Resistances
pseudo	pseudo.pseudo_count_elemental_resistances	# total Elemental Resistances
pseudo	pseudo.pseudo_total_all_elemental_resistances	+#% total to all Elemental Resistances
pseudo	pseudo.pseudo_total_strength	+# total to Strength
pseudo	pseudo.pseudo_total_dexterity	+# total to Dexterity
pseudo	pseudo.pseudo_total_intelligence	+# total to Intelligence
pseudo	pseudo.pseudo_total_all_attributes	+# total to all Attributes
pseudo	pseudo.pseudo_total_attributes	+# total to Attributes
pseudo	pseudo.pseudo_total_life	+# total maximum Life
pseudo	pseudo.pseudo_total_mana	+# total maximum Mana
pseudo	pseudo.pseudo_total_energy_shield	+# total maximum Energy Shield
pseudo	pseudo.pseudo_increased_energy_shield	#% total increased maximum Energy Shield
pseudo	pseudo.pseudo_increased_movement_speed	#% increased Movement Speed
pseudo	pseudo.pseudo_number_of_enchant_mods	# Enchant Modifiers
pseudo	pseudo.pseudo_number_of_implicit_mods	# Implicit Modifiers
pseudo	pseudo.pseudo_number_of_prefix_mods	# Prefix Modifiers
pseudo	pseudo.pseudo_number_of_suffix_mods	# Suffix Modifiers
pseudo	pseudo.pseudo_number_of_affix_mods	# Modifiers
pseudo	pseudo.pseudo_number_of_desecrated_prefix_mods	# Desecrated Prefix Modifiers
pseudo	pseudo.pseudo_number_of_desecrated_suffix_mods	# Desecrated Suffix Modifiers
pseudo	pseudo.pseudo_number_of_desecrated_mods	# Desecrated Modifiers
pseudo	pseudo.pseudo_number_of_unrevealed_prefix_mods	# Unrevealed Prefix Modifiers
pseudo	pseudo.pseudo_number_of_unrevealed_suffix_mods	# Unrevealed Suffix Modifiers
pseudo	pseudo.pseudo_number_of_unrevealed_mods	# Unrevealed Modifiers
pseudo	pseudo.pseudo_number_of_empty_prefix_mods	# Empty Prefix Modifiers
pseudo	pseudo.pseudo_number_of_empty_suffix_mods	# Empty Suffix Modifiers
pseudo	pseudo.pseudo_number_of_empty_affix_mods	# Empty Modifiers
pseudo	pseudo.pseudo_number_of_fractured_mods	# Fractured Modifiers
pseudo	pseudo.pseudo_number_of_crafted_mods	# Crafted Modifiers
pseudo	pseudo.pseudo_number_of_uses_remaining	# uses remaining (Tablets)
explicit	explicit.stat_1050105434	# to maximum Mana
explicit	explicit.stat_3299347043	# to maximum Life
explicit	explicit.stat_4220027924	#% to Cold Resistance
explicit	explicit.stat_3372524247	#% to Fire Resistance
explicit	explicit.stat_1671376347	#% to Lightning Resistance
explicit	explicit.stat_328541901	# to Intelligence
explicit	explicit.stat_3917489142	#% increased Rarity of Items found
explicit	explicit.stat_3261801346	# to Dexterity
explicit	explicit.stat_4080418644	# to Strength
explicit	explicit.stat_3325883026	# Life Regeneration per second
explicit	explicit.stat_789117908	#% increased Mana Regeneration Rate
explicit	explicit.stat_803737631	# to Accuracy Rating
explicit	explicit.stat_2974417149	#% increased Spell Damage
explicit	explicit.stat_3032590688	Adds # to # Physical Damage to Attacks
explicit	explicit.stat_4052037485	# to maximum Energy Shield (Local)
explicit	explicit.stat_2891184298	#% increased Cast Speed
explicit	explicit.stat_4015621042	#% increased Energy Shield
explicit	explicit.stat_1368271171	Gain # Mana per enemy killed
explicit	explicit.stat_3695891184	Gain # Life per enemy killed
explicit	explicit.stat_915769802	# to Stun Threshold
explicit	explicit.stat_3639275092	#% increased Attribute Requirements
explicit	explicit.stat_2901986750	#% to all Elemental Resistances
explicit	explicit.stat_2923486259	#% to Chaos Resistance
explicit	explicit.stat_1509134228	#% increased Physical Damage
explicit	explicit.stat_3981240776	# to Spirit
explicit	explicit.stat_2482852589	#% increased maximum Energy Shield
explicit	explicit.stat_2250533757	#% increased Movement Speed
explicit	explicit.stat_53045048	# to Evasion Rating (Local)
explicit	explicit.stat_1754445556	Adds # to # Lightning damage to Attacks
explicit	explicit.stat_691932474	# to Accuracy Rating (Local)
explicit	explicit.stat_4067062424	Adds # to # Cold damage to Attacks
explicit	explicit.stat_1263695895	#% increased Light Radius
explicit	explicit.stat_124859000	#% increased Evasion Rating (Local)
explicit	explicit.stat_2144192055	# to Evasion Rating
explicit	explicit.stat_3489782002	# to maximum Energy Shield
explicit	explicit.stat_1573130764	Adds # to # Fire damage to Attacks
explicit	explicit.stat_2231156303	#% increased Lightning Damage
explicit	explicit.stat_587431675	#% increased Critical Hit Chance
explicit	explicit.stat_2106365538	#% increased Evasion Rating
explicit	explicit.stat_3291658075	#% increased Cold Damage
explicit	explicit.stat_1940865751	Adds # to # Physical Damage
explicit	explicit.stat_3484657501	# to Armour (Local)
explicit	explicit.stat_1379411836	# to all Attributes
explicit	explicit.stat_2866361420	#% increased Armour
explicit	explicit.stat_1999113824	#% increased Evasion and Energy Shield
explicit	explicit.stat_1062208444	#% increased Armour (Local)
explicit	explicit.stat_3336890334	Adds # to # Lightning Damage
explicit	explicit.stat_3962278098	#% increased Fire Damage
explicit	explicit.stat_3556824919	#% increased Critical Damage Bonus
explicit	explicit.stat_736967255	#% increased Chaos Damage
explicit	explicit.stat_2451402625	#% increased Armour and Evasion
explicit	explicit.stat_2881298780	# to # Physical Thorns damage
explicit	explicit.stat_3321629045	#% increased Armour and Energy Shield
explicit	explicit.stat_709508406	Adds # to # Fire Damage
explicit	explicit.stat_1037193709	Adds # to # Cold Damage
explicit	explicit.stat_210067635	#% increased Attack Speed (Local)
explicit	explicit.stat_737908626	#% increased Critical Hit Chance for Spells
explicit	explicit.stat_681332047	#% increased Attack Speed
explicit	explicit.stat_1276056105	#% increased Gold found in this Area (Gold Piles)
explicit	explicit.stat_1276056105	#% increased Gold found in Map (Gold Piles)
explicit	explicit.stat_1202301673	# to Level of all Projectile Skills
explicit	explicit.stat_9187492	# to Level of all Melee Skills
explicit	explicit.stat_2968503605	#% increased Flammability Magnitude
explicit	explicit.stat_518292764	#% to Critical Hit Chance
explicit	explicit.stat_274716455	#% increased Critical Spell Damage Bonus
explicit	explicit.stat_2162097452	# to Level of all Minion Skills
explicit	explicit.stat_3141070085	#% increased Elemental Damage
explicit	explicit.stat_2557965901	Leech #% of Physical Attack Damage as Life
explicit	explicit.stat_707457662	Leech #% of Physical Attack Damage as Mana
explicit	explicit.stat_387439868	#% increased Elemental Damage with Attacks
explicit	explicit.stat_809229260	# to Armour
explicit	explicit.stat_57434274	#% increased Experience gain
explicit	explicit.stat_57434274	#% increased Experience gain in Map
explicit	explicit.stat_124131830	# to Level of all Spell Skills
explicit	explicit.stat_2694482655	#% to Critical Damage Bonus
explicit	explicit.stat_3278136794	Gain #% of Damage as Extra Lightning Damage
explicit	explicit.stat_2306002879	#% increased Rarity of Items found in Map
explicit	explicit.stat_1444556985	#% of Damage taken Recouped as Life
explicit	explicit.stat_55876295	Leeches #% of Physical Damage as Life
explicit	explicit.stat_669069897	Leeches #% of Physical Damage as Mana
explicit	explicit.stat_2505884597	Gain #% of Damage as Extra Cold Damage
explicit	explicit.stat_3015669065	Gain #% of Damage as Extra Fire Damage
explicit	explicit.stat_3759663284	#% increased Projectile Speed
explicit	explicit.stat_1589917703	Minions deal #% increased Damage
explicit	explicit.stat_770672621	Minions have #% increased maximum Life
explicit	explicit.stat_2339757871	#% increased Energy Shield Recharge Rate
explicit	explicit.stat_2777224821	#% increased Quantity of Waystones found in Map
explicit	explicit.stat_2194114101	#% increased Critical Hit Chance for Attacks
explicit	explicit.stat_3714003708	#% increased Critical Damage Bonus for Attack Damage
