Currency	alt	Orb of Alteration
Currency	fusing	Orb of Fusing
Currency	alch	Orb of Alchemy
Currency	chaos	Chaos Orb
Currency	gcp	Gemcutter's Prism
Currency	exalted	Exalted Orb
Currency	chrome	Chromatic Orb
Currency	jewellers	Jeweller's Orb
Currency	engineers	Engineer's Orb
Currency	infused-engineers-orb	Infused Engineer's Orb
Currency	chance	Orb of Chance
Currency	chisel	Cartographer's Chisel
Currency	scour	Orb of Scouring
Currency	blessed	Blessed Orb
Currency	regret	Orb of Regret
Currency	regal	Regal Orb
Currency	divine	Divine Orb
Currency	vaal	Vaal Orb
Currency	annul	Orb of Annulment
Currency	orb-of-binding	Orb of Binding
Currency	ancient-orb	Ancient Orb
Currency	orb-of-horizons	Orb of Horizons
Currency	harbingers-orb	Harbinger's Orb
Currency	fracturing-orb	Fracturing Orb
Currency	wisdom	Scroll of Wisdom
Currency	portal	Portal Scroll
Currency	scrap	Armourer's Scrap
Currency	whetstone	Blacksmith's Whetstone
Currency	bauble	Glassblower's Bauble
Currency	transmute	Orb of Transmutation
Currency	aug	Orb of Augmentation
Currency	mirror	Mirror of Kalandra
Currency	eternal	Eternal Orb
Currency	rogues-marker	Rogue's Marker
Currency	tempering-orb	Tempering Orb
Currency	tailoring-orb	Tailoring Orb
Currency	orb-of-unmaking	Orb of Unmaking
Currency	flesh-of-xesht	Flesh of Xesht
Currency	veiled-chaos-orb	Veiled Chaos Orb
Currency	veiled-exalted-orb	Veiled Exalted Orb
Currency	enkindling-orb	Enkindling Orb
Currency	instilling-orb	Instilling Orb
Currency	sacred-orb	Sacred Orb
Currency	stacked-deck	Stacked Deck
Currency	veiled-scarab	Veiled Scarab
Currency	dead-mans-sulphur	Dead Man's Sulphur
Currency	sep	
Currency	shapers-exalted-orb	Shaper's Exalted Orb
Currency	elders-exalted-orb	Elder's Exalted Orb
Currency	crusaders-exalted-orb	Crusader's Exalted Orb
Currency	redeemers-exalted-orb	Redeemer's Exalted Orb
Currency	hunters-exalted-orb	Hunter's Exalted Orb
Currency	warlords-exalted-orb	Warlord's Exalted Orb
Currency	awakeners-orb	Awakener's Orb
Currency	mavens-orb	Orb of Dominance
Currency	orb-of-remembrance	Orb of Remembrance
